stars,useful,funny,cool,text
3.0,0,0,0,"decide eat aware go NUM hour begin end try multiple time want like location nj bad experience 

 food good take long time come waitstaff young usually pleasant experience spend way long wait usually opt diner restaurant weekend order quick"
5.0,1,0,1,"take lot spin class year compare class body cycle nice clean space amazing bike welcoming motivating instructor class notch work 

 struggle fit workout online scheduling system make easy plan ahead need line way advanced like gym 

 way write review give russell owner body cycle shout russell passion fitness cycling evident desire client succeed drop class check provide encouragement open idea recommendation russell wear smile face kick butt class"
3.0,0,0,0,family diner buffet eclectic assortment large chicken leg fried jalapeño tamale roll grape leave fresh melon good lot mexican choice menu breakfast serve day long friendly attentive staff good place casual relaxed meal expectation clarion hotel
5.0,1,0,1,wow   yummy different   delicious    favorite lamb curry korma   NUM different kind naan   let outside deter change minds) try new    glad
4.0,1,0,1,cute interior owner give tour upcoming patio rooftop area great beautiful day like today cheese curd good filling like sandwich come w salad esp eat curd onion gruyere tomato sandwich cheese like need pepper jelly maybe like menu option add salad w fun cheese lot beer wine limited cocktail time try draft wine
1.0,1,2,1,long term frequent customer establishment go order NUM app tell busy place maybe half well dick reach ass yes fuck frequent customer great tipper glad kanella open go dmitris
5.0,0,2,0,love tour grab groupon price great perfect way explore new orleans know lot history city tour guide ton interesting tidbit city enjoy experience highly recommend tour actually think go tour cemetery take french quarter hour cemetery second half tour meet grocery store strange terribly hard find chance water stop visitor center way tour bathroom break need tour favorite part trip
5.0,2,0,0,amazingly amazing wing homemade bleu cheese ribeye tender perfectly prepare delicious nice selection craft beer definitely recommend check hide gem
3.0,1,1,0,easter instead go lopez lake go los padres national forest pretty white rock staff need cut dead grass invade rock water wish staff clean rid dead grass live water water green dirty los padre national forest staff need work hard maintain forest look pretty like dumpster cachuma lake look like bit effort
3.0,0,0,0,party NUM hibachi waitress bring separate sushi order plate tell forget item order understand make mistake restaraunt quiet kind surprised usually hibachi fun lively experience   cook   say maybe word cook francisco service fishy food pretty good m hope night money
5.0,2,0,0,"experience shalimar wonderful 
 want engagement ring size tell phone probably day 
 bring team confirm jeweler able accommodate day request $ NUM simple band decrease size 
 check size time confirm leave let thing 
 come pick later afternoon ring small important note shalimar size ring perfectly mistake go half size 
 shalimar group completely understanding accommodate resize ring get hour charge mistake 
 associate attitude deal pretty embarrassing situation instantly earn satisfaction loyalty customer grateful wonderful experience"
4.0,0,0,0,local recommend milktooth amazing jewel indianapolis glade chance experience
4.0,0,0,0,love go happy hour dinner   great patio fan beat stl heat    accomodate location   like veal milanese mixed green instead pasta   modify menu suit taste
4.0,0,0,0,"good food love gnocchi marinara 
 baked eggplant appetizer good 

 service slow despite food good"
4.0,0,2,0,"bun make sonoran dog like snuggie pup ridiculous like go exactly like favorite blanket sleeve softness smush indulgent   wrong warm soft chewy fragrant succeed famed sonoran dogs fail 

 hot dog flavorful prefer bacon little bite snap well hold dominant mustard onion 

 masse carne asada caramelo excellent tortilla salty melty cheese great carne 

 super cheap drive"
5.0,0,0,0,great place breakfast waffle fluffy perfect home fry nice smash crunchy friendly waitstaff definitely
5.0,0,0,0,tremendous service big shout douglas complement delicious food pretty expensive establishment NUM NUM $ avg main course definitely back atmosphere comparable tier restaurant country
4.0,1,0,0,hubby multiple occasion love meal single time server bartender knowledgable menu able immediately recommend item eat substitute delete safe celiac girl eat wine cocktail menu spot food divine   wish gluten free dessert sweet big deal want time time
5.0,2,0,1,blow bar brow natalie brow specialist highly recommend great great job eyebrow get blow victoria wow impress thin straight dead hair leave big volume ve try girl not like victoria girl beautiful clean place
5.0,0,0,0,absolute favorite cafe city black white latte probably good sweet right foam soup good non soup people lot space work noise level perfect music perfect level enjoy patron bring dog give business long
5.0,2,5,2,"holy smokes 

 actual pumpkin pie mix frozen custard kid huge sweep nation treat 

 good chunk pie crust like find diamond inside diamond super yummy"
3.0,0,0,0,upland brewery base bloomington indiana popular open couple additional location central indiana   beer good fan burger tenderloin   excited try pizza think end par item   margherita pizza cracker like crust pretty light overall   cheese good topping add flavor   red sauce typical true margherita pizza   opinion upland pizza serve nice appetizer group stick burger tenderloin meal choice future visit
5.0,2,2,2,thoroughly enjoy   chill way spend friday night
4.0,0,0,0,yes sushi place town great crave sushi time salmon probably good fish order salmon love spicy edamame tempura ocean salad cabbage salad service friendly quick
4.0,1,0,1,"NUM NUM star love 96th street naked tchopstix excited close house 
 vibe totally different gear decent size dining area order counter deliver 
 daughter try sushi bowl pick piece paper   select choice protein vegetable rice topping like fact paper guess thing shout counter tell server want sushi bowl good wonderful choice particularly vegetable little limit feel rice food item sauce tasty husband order maui roll favorite roll 96th street location standard good quality consistently good 96th street think lot people happy sushi bowl want comment low review people give place service people sushi place mcdonalds- bit slow go order minute call express healthy alternative fast food area worth wait oh try bubble tea strawberry yummy time go try vanilla chai"
4.0,0,0,0,go lunch beef brisket sandwich awesome    juicy tender     pull pork good
5.0,0,0,0,good thai food area   authentic delicious   definitely
3.0,0,0,0,service crappy food mediocre   wish pick place dinner town
5.0,1,0,0,"recently dinner wife weekend pleased 

 meal excellent wife astounded quickly food come taste fresh homemade appreciate 

 problem try pick menu delicious sound item choose definitely return try item wait chef special"
2.0,0,0,0,restaurant star decent food dinner meeting spend $ NUM entrées appetizer flag assistant cook guy bright red baggy pant watch tv avocado tuna entrée   apparent direct help situation flag   waitress bill dollar avocado
5.0,0,0,0,time excellent feel like enter home waiter funny nice food come quickly phenomenal definitely go place
5.0,0,0,0,"great burger fry salad   burger hint salt pepper flavor 

 location quaint outdoor seating 

 friendly staff 

 street parking parking lot"
5.0,1,0,1,great staff help nice clean huge store size stay stock need staff help custom breakfast bagel
5.0,0,0,0,take vehicle work year ago manufacturer recall problem go away start hear noise think relate turn completely different issue kevin mechanic lift car right fix issue free charge tell pay outstanding individual highly recommend
4.0,0,0,0,rotd   yesterday different sweet cece location realize review local source   love product   love love love   usually like selection topping good mix healthy healthy   girl work pay attention find   remind deal like $ NUM friday   NUM star love
5.0,0,0,0,great addition funk zone   grab bite grab tasting life good right door santa barbara wine collective fact actually share table   fabulous savory croissant
5.0,4,0,0,nice relaxing place massage day appointment easy come disappoint therapist center
4.0,0,0,0,check 2:30 pm   check quick easy complimentary valet parking appreciated   peppermill huge remind caesars palace las vegas   restaurant site offer type food want   casino area huge rival find las vegas   thing notice slot machine note penny machine actually start play realize minimum bet NUM cent $ NUM   talk false advertising   tuscany tower 12th floor   room nice view huge pool area   room large feature free wifi likewise appreciate huge bathroom area large shower shower head tv large jetted bathtub phone commode   dual sink lot counter space   plenty towel supply   roomy main area king bed night stand closet tv mini fridge dresser drawer safe table computer writing complimentary bottle water nicely upholstered chair table   thermostat good job control temperature keep comfortable   staff courteous helpful   nice place enjoy stay
5.0,0,0,0,boyfriend try deli time today turkey avocado bacon panini ha buffalo chicken wrap definitely return wait food long appreciate lunch hour choose salad soup macaroni sandwich hot food love deli option choose
5.0,0,0,0,amazing biscuit fill blank great cocktail highly recommend bit busy
4.0,0,0,0,food good- atmosphere decor like fishing lodge- menu someplace outback bonefish go groupon NUM meal calamari appetizer order cook perfectly- def
2.0,1,1,0,"straight point cheap taste feel cheap 

 good price location dessert edible food item baked chicken fry chicken mashed potato salad bar lol meat cheese bar ravioli pizza waitress bomb af 

 meh counter meat slicing station shrimp devein mexican station 

 bad breakfast -worst egg actually bad egg le benedict cut ham english muffin try NUM occasion steak shrimp hell bread item decor NUM nightmare imagine 

 try NUM time fail"
4.0,0,0,0,"reason restaurant NUM star rating single pretentious waiter NUM night guest hotel palomar location restaurant obvious plus night stay meet coworker restaurant cocktail arrive host staff busy available walk restaurant busy look small table bar proceed seat waiter come quickly ask seat sit tell have cocktail stumble reply irritated convinced tone tell guess fine basically keep walk mid sentence guest brush start have conversation look drink menu long story short distant get bother vibe come bill ask split company transaction policy think ask inconceivable task basically spend rest night elevator ride room shock rudeness experience 

 situation leave bad taste mouth night decide avoid restaurant decide grab cocktail place try look ensure night waiter shift walk bar start look menu instantly bartender greet pleasant small talk feel NUM welcome ask day recommend cocktail completely genuine person guy think ben absolute star give lesson whiskey describe classic cocktail NUM invest experience exactly bartender 4/5 star establishment actually exceed kind funny friendly completely redeem restaurant bar terrible experience night 
 order room service night restaurant amazing bacon wrap date chocolate cake die great restaurant amazing bartender(s bad bad egg spoil experience"
5.0,0,0,0,stop sunday morning walk park great food coffee customer service love vibe
3.0,0,0,0,word overrated   food take forever come   burger way overcooked especially order medium rare seafood jumbalaya decent   worth price   well place eat french quarter   horrible hear place expect well
4.0,0,0,0,comfortable bed good breakfast fast internet great location low price overall impressed place stay floor wait NUM minute elevator morning
2.0,2,3,0,call restaurant restaurant prepare food rest patron want water yard want drink walk flight stair pay cash want sit dirty yard dirty lawn chair enjoy wait staff mildy helpful bring food window pay cash kind like new orleans hamburger seafood dirty live music nice lifetime experience
